,Unnamed: 0,Keyword/Keyword Phrase,Related Terms,Volume,CPC,URL,entity,matched_text,freebase_types,dbpedia_types,wikipedia_link,entity_per_url,total_url_per_keyword,percentage_entity_prominence
2203,2203,plumber,plumbers near me,22200,6.11,https://www.ratedpeople.com/local-plumbers,Plumbing,pipe,"['/organization/organization_sector', '/book/book_subject', '/organization/contact_category', '/business/industry', '/organization/organization_type']",[],http://en.wikipedia.org/wiki/Plumbing,207,1269,16.31205674
2269,2269,plumber,plumbers near me,22200,6.11,https://www.ratedpeople.com/local-plumbers,Plumbing,water pipes,"['/organization/organization_sector', '/book/book_subject', '/organization/contact_category', '/business/industry', '/organization/organization_type']",[],http://en.wikipedia.org/wiki/Plumbing,207,1269,16.31205674
10194,10241,plumber,plumbers near me,22200,6.11,https://www.plumbingforce.co.uk/emergencies/,Plumbing,pipes,"['/organization/organization_sector', '/book/book_subject', '/organization/contact_category', '/business/industry', '/organization/organization_type']",[],http://en.wikipedia.org/wiki/Plumbing,60,148,40.54054054
1117,1117,plumber,plumbers near me,22200,6.11,https://www.localheroes.com/plumber,Shower,Shower,[],[],http://en.wikipedia.org/wiki/Shower,45,270,16.66666667
10141,10188,plumber,plumbers near me,22200,6.11,https://www.myjobquote.co.uk/plumber,Shower,showers,[],[],http://en.wikipedia.org/wiki/Shower,14,154,9.090909091
9509,9556,plumber,plumbers near me,22200,6.11,https://www.ratedpeople.com/local-plumbers/london,Water,water,"['/exhibitions/exhibition_subject', '/chemistry/molecular_entity', '/food/nutrient', '/cvg/computer_game_subject', '/food/ingredient', '/visual_art/visual_art_medium', '/chemistry/chemical_compound', '/book/book_subject', '/medicine/drug_ingredient']","['ChemicalSubstance', 'ChemicalCompound']",http://en.wikipedia.org/wiki/Water,8,144,5.555555556
1811,1811,plumber,plumber,40500,6.95,https://www.ratedpeople.com/local-plumbers,Bathroom,bathrooms,"['/organization/organization_sector', '/business/industry', '/business/consumer_product', '/organization/contact_category']",[],http://en.wikipedia.org/wiki/Bathroom,81,1269,6.382978723
1827,1827,plumber,plumber,40500,6.95,https://www.ratedpeople.com/local-plumbers,Bathroom,bathroom,"['/organization/organization_sector', '/business/industry', '/business/consumer_product', '/organization/contact_category']",[],http://en.wikipedia.org/wiki/Bathroom,81,1269,6.382978723
1500,1500,plumber,plumber,40500,6.95,https://www.my-plumber.co.uk/,Boiler,boiler,['/organization/organization_sector'],[],http://en.wikipedia.org/wiki/Boiler,16,286,5.594405594
1503,1503,plumber,plumber,40500,6.95,https://www.my-plumber.co.uk/,Boiler,boilers,['/organization/organization_sector'],[],http://en.wikipedia.org/wiki/Boiler,16,286,5.594405594
1505,1505,plumber,plumber,40500,6.95,https://www.my-plumber.co.uk/,Emergency,emergency,['/organization/contact_category'],[],http://en.wikipedia.org/wiki/Emergency,20,286,6.993006993
1800,1800,plumber,plumber,40500,6.95,https://www.ratedpeople.com/local-plumbers,Gas,Gas,"['/medicine/drug_dosage_form', '/chemistry/phase_of_matter']",[],http://en.wikipedia.org/wiki/Gas,135,1269,10.63829787
0,0,plumber,plumber,40500,6.95,https://en.wikipedia.org/wiki/Plumber,Plumber,plumber,"['/organization/organization_type', '/fictional_universe/character_occupation', '/organization/organization_sector', '/people/profession', '/business/industry']",[],http://en.wikipedia.org/wiki/Plumber,18,138,13.04347826
83,83,plumber,plumber,40500,6.95,https://en.wikipedia.org/wiki/Plumber,Plumber,plumbers,"['/organization/organization_type', '/fictional_universe/character_occupation', '/organization/organization_sector', '/people/profession', '/business/industry']",[],http://en.wikipedia.org/wiki/Plumber,18,138,13.04347826
35,35,plumber,plumber,40500,6.95,https://en.wikipedia.org/wiki/Plumber,Plumbing,plumbing,"['/organization/organization_sector', '/book/book_subject', '/organization/contact_category', '/business/industry', '/organization/organization_type']",[],http://en.wikipedia.org/wiki/Plumbing,10,138,7.246376812
71,71,plumber,plumber,40500,6.95,https://en.wikipedia.org/wiki/Plumber,Plumbing,pipe,"['/organization/organization_sector', '/book/book_subject', '/organization/contact_category', '/business/industry', '/organization/organization_type']",[],http://en.wikipedia.org/wiki/Plumbing,10,138,7.246376812
95,95,plumber,plumber,40500,6.95,https://en.wikipedia.org/wiki/Plumber,Plumbing,pipes,"['/organization/organization_sector', '/book/book_subject', '/organization/contact_category', '/business/industry', '/organization/organization_type']",[],http://en.wikipedia.org/wiki/Plumbing,10,138,7.246376812
179,179,plumber,plumber,40500,6.95,https://en.wikipedia.org/wiki/Plumbing,Plumbing,piping,"['/organization/organization_sector', '/book/book_subject', '/organization/contact_category', '/business/industry', '/organization/organization_type']",[],http://en.wikipedia.org/wiki/Plumbing,174,876,19.8630137
262,262,plumber,plumber,40500,6.95,https://en.wikipedia.org/wiki/Plumbing,Plumbing,water pipe,"['/organization/organization_sector', '/book/book_subject', '/organization/contact_category', '/business/industry', '/organization/organization_type']",[],http://en.wikipedia.org/wiki/Plumbing,174,876,19.8630137
266,266,plumber,plumber,40500,6.95,https://en.wikipedia.org/wiki/Plumbing,Plumbing,Wooden pipes,"['/organization/organization_sector', '/book/book_subject', '/organization/contact_category', '/business/industry', '/organization/organization_type']",[],http://en.wikipedia.org/wiki/Plumbing,174,876,19.8630137
312,312,plumber,plumber,40500,6.95,https://en.wikipedia.org/wiki/Plumbing,Plumbing,Water pipes,"['/organization/organization_sector', '/book/book_subject', '/organization/contact_category', '/business/industry', '/organization/organization_type']",[],http://en.wikipedia.org/wiki/Plumbing,174,876,19.8630137
362,362,plumber,plumber,40500,6.95,https://en.wikipedia.org/wiki/Plumbing,Plumbing,conduits,"['/organization/organization_sector', '/book/book_subject', '/organization/contact_category', '/business/industry', '/organization/organization_type']",[],http://en.wikipedia.org/wiki/Plumbing,174,876,19.8630137
575,575,plumber,plumber,40500,6.95,https://en.wikipedia.org/wiki/Plumbing,Plumbing,Plumbing Code,"['/organization/organization_sector', '/book/book_subject', '/organization/contact_category', '/business/industry', '/organization/organization_type']",[],http://en.wikipedia.org/wiki/Plumbing,174,876,19.8630137
907,907,plumber,plumber,40500,6.95,https://en.wikipedia.org/wiki/Plumbing,Plumbing,plumbing codes,"['/organization/organization_sector', '/book/book_subject', '/organization/contact_category', '/business/industry', '/organization/organization_type']",[],http://en.wikipedia.org/wiki/Plumbing,174,876,19.8630137
